symbol,shares,ref_price
ANTELOPUS,53,1179.0
EIEL,301,207.0
INDNIPPON,47,1323.0
INDORAMA,734,85.07
NOVARTIND,28,2186.4
RESPONIND,365,171.02
SHAREINDIA,329,189.95
STLNETWORK,1882,33.2
