symbol,shares,ref_price
ARVSMART,87,633.35
DELTACORP,810,68.57
GNA,93,597.1
JAYKAY,261,212.06
KROSS,200,277.23
MUKANDLTD,355,156.17
ONEPOINT,812,68.41
RAYMONDREL,83,668.65
RPGLIFE,18,3045.0
