symbol,shares,ref_price
DIVGIITTS,40,1240.7
DOLPHIN,104,480.0
ELLEN,154,323.8
GIPCL,286,174.41
JINDALPOLY,74,673.9
MANINDS,83,601.7
ORISSAMINE,10,4823.3
PITTIENG,47,1042.25
TCPLPACK,11,4410.9
WSTCSTPAPR,78,633.6
