symbol,shares,ref_price
ANTELOPUS,75,951.15
BODALCHEM,483,147.74
HERITGFOOD,188,378.0
INDOCO,260,274.2
TBZ,172,415.25
WINDLAS,65,1097.3
XPROINDIA,55,1289.0
