timestamp,symbol,quantity,ref_price,fill_price,leverage,margin_required,order_id,status,product,capital_base
2026-08-12T15:21:06.443469+05:30,DIVGIITTS,24,1235.65,1228.55,2.0,14763.599999999999,260812221242769,filled,MTF,300000.0
2026-08-12T15:21:11.823342+05:30,DOLPHIN,30,497.25,499.3,1.0,14917.5,260812221243101,filled,CNC,150000.0
2026-08-12T15:21:16.989262+05:30,ELLEN,92,323.8,,2.83,10515.7288,260812221243367,rejected,MTF,300000.0
2026-08-12T15:21:21.333046+05:30,GIPCL,172,173.73,174.17,3.07,9760.642584000001,260812221243597,filled,MTF,300000.0
2026-08-12T15:21:26.363774+05:30,JINDALPOLY,44,667.9,669.6,2.0,14692.700000000004,260812221243862,filled,MTF,300000.0
2026-08-12T15:21:31.406592+05:30,MANINDS,50,599.15,599.1,2.51,11947.051,260812221244140,filled,MTF,300000.0
2026-08-12T15:21:36.420214+05:30,ORISSAMINE,6,4950.0,4952.0,2.86,10398.990000000013,260812221244421,filled,MTF,300000.0
2026-08-12T15:21:41.514669+05:30,PITTIENG,28,1049.0,1047.6,3.02,9701.126400000016,260812221244644,filled,MTF,300000.0
2026-08-12T15:21:46.543783+05:30,TCPLPACK,6,4367.0,,2.0,13152.0,260812221244872,rejected,MTF,300000.0
2026-08-12T15:21:50.867287+05:30,WSTCSTPAPR,48,618.0,619.35,3.11,9564.292799999996,260812221245088,filled,MTF,300000.0
