symbol,shares,ref_price
ANTELOPUS,65,1089.7
BCG,6725,10.62
GENESYS,247,288.19
NOVARTIND,39,1813.1
SYMPHONY,116,614.55
VENUSPIPES,36,1942.0
WHEELS,33,2106.4
