symbol,shares,ref_price
BAJAJELEC,187,380.9
DECNGOLD,315,226.63
GMMPFAUDLR,72,981.35
KOLTEPATIL,167,427.7
ROLEXRINGS,468,152.52
SOTL,92,773.85
STOVEKRAFT,89,802.2
