symbol,shares,ref_price
DALMIASUG,175,407.4
DEEPINDS,109,649.5
JINDWORLD,1755,40.68
LUMAXIND,12,5790.0
SPORTKING,314,226.77
UEL,387,184.47
VINDHYATEL,29,2383.0
