symbol,shares,ref_price
ASHIANA,112,402.75
INDORAMA,426,106.49
JASH,79,572.9
JAYKAY,242,187.33
KROSS,176,256.99
PROTEAN,77,588.35
REFEX,154,293.55
SAMBHV,289,156.87
STUDDS,105,432.8
SUNDROP,64,707.55
TARSONS,134,338.15
