symbol,shares,ref_price
ALEMBICLTD,568,109.86
ANTELOPUS,61,1010.0
BFUTILITIE,114,547.6
GOCLCORP,146,427.5
HIKAL,259,240.72
HINDOILEXP,338,184.64
KIRIINDUS,107,579.9
RAYMOND,82,757.95
