symbol,shares,ref_price
DREDGECORP,61,1155.2
MOTISONS,4216,16.94
SHANTIGOLD,288,247.85
STYLEBAAZA,195,365.25
TARSONS,198,359.1
TASTYBITE,7,9983.0
TVSSRICHAK,15,4504.8
