symbol,shares,ref_price
BAJAJHIND,2412,23.03
BANARISUG,13,4270.0
HUBTOWN,282,196.9
KIRIINDUS,120,461.85
MANGLMCEM,56,978.2
NETWORK18,1824,30.45
SOLARA,87,636.45
VERANDA,219,253.55
ZAGGLE,280,197.72
