symbol,shares,ref_price
AWFIS,212,294.75
FILATEX,730,85.6
KIRLOSIND,16,3835.0
MOBIKWIK,297,210.41
QUADFUTURE,130,479.9
RACLGEAR,35,1748.8
SIKA,57,1080.4
SMSPHARMA,135,461.5
