symbol,shares,ref_price
EPIGRAL,62,1152.0
JINDWORLD,1892,37.74
NILKAMAL,45,1554.2
RAJRATAN,139,510.7
SHK,501,142.49
STALLION,299,238.7
VIMTALABS,118,602.5
