symbol,shares,ref_price
APCOTEXIND,103,687.25
ARTEMISMED,241,296.1
ASIANTILES,1146,62.28
DEEPINDS,130,547.8
ORISSAMINE,17,4031.9
SHK,440,162.27
TIL,279,255.8
