timestamp,open,high,low,close,volume,oi
2026-02-26T09:15:00+05:30,169.96,170.59,169.5,169.6,415,0
2026-02-26T09:30:00+05:30,169.36,170.15,169.0,169.26,5254,0
2026-02-26T09:45:00+05:30,169.43,169.95,168.0,169.18,6257,0
2026-02-26T10:00:00+05:30,169.09,169.21,168.18,168.93,1228,0
2026-02-26T10:15:00+05:30,168.93,168.93,168.28,168.67,1044,0
2026-02-26T10:30:00+05:30,168.22,168.8,168.22,168.3,1606,0
2026-02-26T10:45:00+05:30,168.01,168.41,168.01,168.1,315,0
2026-02-26T11:00:00+05:30,168.31,168.36,167.99,168.23,1142,0
2026-02-26T11:15:00+05:30,168.23,168.33,168.0,168.1,1485,0
2026-02-26T11:30:00+05:30,168.09,168.09,167.2,167.42,2462,0
2026-02-26T11:45:00+05:30,167.42,167.42,166.51,166.82,1067,0
2026-02-26T12:00:00+05:30,167.11,167.51,166.65,166.65,914,0
2026-02-26T12:15:00+05:30,166.66,166.66,166.32,166.32,531,0
2026-02-26T12:30:00+05:30,166.32,167.96,166.2,167.67,1261,0
2026-02-26T12:45:00+05:30,167.99,168.44,167.99,168.2,1296,0
2026-02-26T13:00:00+05:30,168.2,168.2,167.13,167.77,674,0
2026-02-26T13:15:00+05:30,167.77,167.98,167.77,167.98,100,0
2026-02-26T13:30:00+05:30,167.98,167.98,167.74,167.74,3,0
2026-02-26T13:45:00+05:30,167.74,168.09,167.6,168.01,848,0
2026-02-26T14:00:00+05:30,168.01,168.34,168.01,168.34,1,0
2026-02-26T14:15:00+05:30,168.34,168.61,168.34,168.59,225,0
2026-02-26T14:30:00+05:30,168.61,168.61,168.26,168.26,23,0
2026-02-26T14:45:00+05:30,168.26,168.26,167.18,167.59,1446,0
2026-02-26T15:00:00+05:30,167.69,169.48,167.69,168.96,2255,0
2026-02-26T15:15:00+05:30,168.22,169.95,167.87,169.95,898,0
2026-02-27T09:15:00+05:30,168.65,168.65,167.7,168.12,758,0
2026-02-27T09:30:00+05:30,168.53,168.53,167.6,167.6,648,0
2026-02-27T09:45:00+05:30,167.6,167.8,167.39,167.8,81,0
2026-02-27T10:00:00+05:30,167.8,167.99,167.57,167.79,152,0
2026-02-27T10:15:00+05:30,167.82,167.82,167.63,167.77,289,0
2026-02-27T10:30:00+05:30,167.77,167.78,167.46,167.46,8,0
2026-02-27T10:45:00+05:30,167.46,167.78,167.46,167.6,57,0
2026-02-27T11:00:00+05:30,167.6,167.75,167.6,167.75,33,0
2026-02-27T11:15:00+05:30,167.75,167.75,167.73,167.75,38,0
2026-02-27T11:30:00+05:30,167.75,167.75,167.16,167.21,1142,0
2026-02-27T11:45:00+05:30,167.21,168.74,167.21,168.69,1837,0
2026-02-27T12:00:00+05:30,168.69,168.69,168.22,168.28,177,0
2026-02-27T12:15:00+05:30,168.28,168.31,168.0,168.0,137,0
2026-02-27T12:30:00+05:30,168.0,168.52,168.0,168.44,103,0
2026-02-27T12:45:00+05:30,168.44,168.44,168.08,168.36,143,0
2026-02-27T13:00:00+05:30,168.22,168.72,168.19,168.69,380,0
2026-02-27T13:15:00+05:30,168.69,168.74,168.21,168.26,314,0
2026-02-27T13:30:00+05:30,168.26,168.29,168.26,168.29,1,0
2026-02-27T13:45:00+05:30,168.29,168.62,168.24,168.6,905,0
2026-02-27T14:00:00+05:30,168.95,168.95,168.75,168.75,211,0
2026-02-27T14:15:00+05:30,168.8,168.89,168.62,168.84,207,0
2026-02-27T14:30:00+05:30,168.89,169.38,168.68,168.68,1951,0
2026-02-27T14:45:00+05:30,168.68,168.94,168.68,168.91,66,0
2026-02-27T15:00:00+05:30,168.91,169.0,168.6,168.8,206,0
2026-02-27T15:15:00+05:30,168.61,169.0,168.6,169.0,911,0
2026-03-02T09:15:00+05:30,165.3,165.3,160.21,164.22,7098,0
