timestamp,open,high,low,close,volume,oi
2026-08-12T09:30:00+05:30,72.0,72.0,72.0,72.0,17949481,0
2026-08-12T09:45:00+05:30,72.0,72.0,72.0,72.0,0,0
2026-08-12T10:00:00+05:30,72.98,73.19,68.11,69.48,42004388,0
2026-08-12T10:15:00+05:30,69.5,70.09,66.05,67.54,12307551,0
2026-08-12T10:30:00+05:30,67.4,67.88,66.54,67.34,8186605,0
2026-08-12T10:45:00+05:30,67.34,67.46,65.8,66.49,5900347,0
2026-08-12T11:00:00+05:30,66.5,67.84,66.43,67.42,4381514,0
2026-08-12T11:15:00+05:30,67.4,68.68,67.03,68.28,3646939,0
2026-08-12T11:30:00+05:30,68.23,69.73,68.05,69.3,4642981,0
2026-08-12T11:45:00+05:30,69.34,69.6,67.57,67.75,3563538,0
2026-08-12T12:00:00+05:30,67.75,69.27,67.65,68.9,2439130,0
2026-08-12T12:15:00+05:30,68.87,69.0,68.25,68.26,1417553,0
2026-08-12T12:30:00+05:30,68.25,68.96,67.62,68.43,2287552,0
2026-08-12T12:45:00+05:30,68.42,68.5,68.01,68.15,588177,0
2026-08-12T13:00:00+05:30,68.2,68.75,68.15,68.34,623756,0
2026-08-12T13:15:00+05:30,68.34,68.68,68.16,68.45,823621,0
2026-08-12T13:30:00+05:30,68.45,68.48,67.81,67.83,1149129,0
2026-08-12T13:45:00+05:30,67.8,68.24,67.75,67.8,1289844,0
2026-08-12T14:00:00+05:30,67.8,67.88,66.55,66.69,2644174,0
2026-08-12T14:15:00+05:30,66.7,67.69,66.12,67.37,3057762,0
2026-08-12T14:30:00+05:30,67.31,67.37,66.5,67.02,1859540,0
2026-08-12T14:45:00+05:30,67.04,67.43,66.62,67.37,1564915,0
2026-08-12T15:00:00+05:30,67.35,67.38,66.61,67.07,3796050,0
2026-08-12T15:15:00+05:30,67.08,67.48,66.91,67.33,4128287,0
2026-08-13T09:15:00+05:30,67.12,68.25,66.1,68.25,5341345,0
2026-08-13T09:30:00+05:30,68.21,68.45,67.1,67.26,2285248,0
2026-08-13T09:45:00+05:30,67.26,67.49,66.72,66.91,963555,0
2026-08-13T10:00:00+05:30,66.9,67.42,66.52,67.08,846281,0
2026-08-13T10:15:00+05:30,67.1,67.5,66.72,66.85,553237,0
2026-08-13T10:30:00+05:30,66.86,67.28,66.6,66.65,564006,0
2026-08-13T10:45:00+05:30,66.66,66.87,66.52,66.7,334006,0
2026-08-13T11:00:00+05:30,66.76,66.82,66.61,66.72,229986,0
2026-08-13T11:15:00+05:30,66.72,66.77,66.5,66.64,296886,0
2026-08-13T11:30:00+05:30,66.59,67.18,66.55,66.89,536297,0
2026-08-13T11:45:00+05:30,66.91,67.0,66.74,66.9,153147,0
2026-08-13T12:00:00+05:30,66.89,67.54,66.82,67.04,665183,0
2026-08-13T12:15:00+05:30,67.06,67.41,66.86,67.05,428149,0
2026-08-13T12:30:00+05:30,67.04,67.17,66.96,67.0,155213,0
2026-08-13T12:45:00+05:30,66.99,67.17,66.81,67.0,205275,0
2026-08-13T13:00:00+05:30,66.99,67.0,66.71,66.79,156220,0
2026-08-13T13:15:00+05:30,66.77,66.99,66.66,66.87,193785,0
2026-08-13T13:30:00+05:30,66.87,66.91,66.63,66.66,149387,0
2026-08-13T13:45:00+05:30,66.66,66.88,66.51,66.62,348912,0
2026-08-13T14:00:00+05:30,66.62,66.8,66.58,66.61,293224,0
2026-08-13T14:15:00+05:30,66.64,66.79,66.6,66.73,245768,0
2026-08-13T14:30:00+05:30,66.68,66.73,66.51,66.61,276958,0
2026-08-13T14:45:00+05:30,66.64,66.65,65.2,65.28,1336879,0
2026-08-13T15:00:00+05:30,65.28,65.9,64.5,64.7,1867409,0
2026-08-13T15:15:00+05:30,64.73,65.21,64.11,64.4,1611073,0
