symbol,mcap_cr,current_price
RATNAVEER,1500.03,210.01
DANISH,1500.7,762.1
GPTINFRA,1502.1,118.87
NAVKARCORP,1505.94,100.05
DLINKINDIA,1512.33,425.95
INDORAMA,1518.63,58.16
MBEL,1532.19,268.05
IFGLEXPOR,1534.77,212.93
MOTISONS,1547.01,13.6
DIGITIDE,1548.66,103.86
IVALUE,1551.99,283.45
TTKHLTCARE,1559.14,1103.4
CEINSYS,1567.39,748.6
DOLLAR,1572.74,277.3
VIDHIING,1573.02,314.95
BLIL,1574.45,70.93
ASIANTILES,1574.88,53.12
GTLINFRA,1575.56,1.23
SUMMITSEC,1576.72,1446.3
WALCHANNAG,1577.15,232.26
ONEPOINT,1577.36,59.99
DSSL,1578.0,1238.9
HITECH,1579.16,77.75
INFOBEAN,1579.53,162.88
TBZ,1580.85,236.9
MVELECTRO,1590.17,582.85
ALLCARGO,1590.64,10.62
WENDT,1590.9,7954.5
KOTIC,1593.0,147.47
SPMLINFRA,1623.4,191.34
DELTACORP,1625.64,60.71
AURUM,1629.16,226.04
MOBIKWIK,1630.14,207.01
MAHASTEEL,1634.57,994.6
IPL,1636.36,142.09
STUDDS,1655.01,420.55
SMCGLOBAL,1655.1,79.04
IKIO,1660.76,214.9
RACLGEAR,1663.89,1411.5
TARSONS,1664.29,312.8
VOEPL,1689.02,518.65
DISAQ,1690.08,11622.0
SHALBY,1698.78,157.28
MTNL,1700.37,26.99
GOCOLORS,1700.69,323.35
VINYAS,1703.72,1353.8
ACCELYA,1705.03,1142.3
VIKRAN,1705.31,66.12
GARUDA,1707.22,183.49
SURYODAY,1710.1,160.89
MCLOUD,1713.01,29.08
HINDWAREAP,1713.75,204.88
PAUSHAKLTD,1719.33,697.3
BFINVEST,1721.06,457.0
JINDRILL,1726.19,595.65
MMWL,1726.3,15.24
MACPOWER,1727.02,1726.3
KABRAEXTRU,1730.81,494.9
RICOAUTO,1731.7,127.99
KRISHNADEF,1747.39,1169.0
GNRL,1753.39,114.3
KAPSTON,1759.59,578.2
KPEL,1760.04,259.6
SHANTIGOLD,1766.54,230.2
CAPACITE,1768.65,209.05
MARSONS,1775.38,103.16
FRONTSP,1783.55,1509.5
EIHAHOTELS,1784.52,292.85
WEL,1809.64,135.04
CNL,1812.89,1207.25
5PAISA,1814.58,387.05
BLUSPRING,1816.6,121.51
NUCLEUS,1823.69,692.75
JAICORPLTD,1827.88,104.15
INSECTICID,1829.09,628.6
TIL,1831.29,228.65
SPICEJET,1837.42,12.04
WINDLAS,1846.32,894.7
BGRENERGY,1850.22,256.4
