symbol,mcap_cr,current_price
DOLPHIN,1500.4,375.85
CNL,1500.45,998.35
ALLTIME,1502.98,228.0
MAHASTEEL,1505.44,895.0
RACLGEAR,1513.19,1285.0
WALCHANNAG,1516.73,222.75
JAGSNPHARM,1517.43,229.75
PNBGILTS,1522.16,84.49
ASALCBR,1536.94,763.7
MMWL,1542.82,13.66
GPTINFRA,1545.46,121.95
WEL,1549.4,115.65
GTLINFRA,1550.02,1.22
IVALUE,1552.41,284.95
OBSCP,1553.31,601.0
NAVKARCORP,1555.15,103.2
BLIL,1555.58,70.05
OMAXE,1558.12,85.19
AURUM,1570.45,218.15
IKIO,1572.18,203.75
FRONTSP,1575.48,1332.9
VINYAS,1575.87,1252.2
DSSL,1580.73,1241.55
IZMO,1589.21,1062.0
DLINKINDIA,1591.19,447.5
GARUDA,1591.84,171.05
MOBIKWIK,1593.53,202.5
VOEPL,1605.34,493.4
SUMMITSEC,1611.86,1490.0
SHANTIGOLD,1615.01,224.05
UEL,1616.89,122.25
DANISH,1618.66,822.0
5PAISA,1626.95,348.25
BLUSPRING,1630.54,108.6
INFOBEAN,1637.02,169.25
WENDT,1643.53,8234.95
MOTISONS,1647.87,14.58
SIGNPOST,1656.89,310.75
SPMLINFRA,1659.35,196.15
JAYBARMARU,1659.73,153.35
JINDRILL,1673.73,579.15
SMCGLOBAL,1682.41,80.23
NITTAGELA,1682.58,1856.6
DELTACORP,1683.97,62.91
GOCOLORS,1693.08,322.05
SOLARWORLD,1694.14,196.0
BFINVEST,1696.21,450.3
YATRA,1698.62,108.25
TARSONS,1708.72,321.15
MTNL,1710.46,27.17
SUMEETINDS,1714.63,24.77
SURYODAY,1723.46,162.7
MBEL,1728.22,301.65
ACCELYA,1733.45,1166.0
KRSNAA,1734.32,534.5
MCLOUD,1735.13,29.39
STUDDS,1737.27,441.15
SPICEJET,1744.39,11.43
SHALBY,1746.48,163.25
KOTIC,1747.83,161.0
HITECH,1750.44,86.38
IPL,1753.68,152.35
MONOLITH,1767.14,813.0
WINDLAS,1771.63,858.1
PFS,1782.88,27.92
JAICORPLTD,1787.36,101.8
CEINSYS,1787.98,855.0
