symbol,mcap_cr,current_price
DLINKINDIA,1503.81,423.55
MMWL,1505.41,13.29
ARFIN,1506.35,89.28
BHAGERIA,1506.82,345.25
GNRL,1509.79,98.42
HITECH,1515.59,74.62
MODISONLTD,1519.47,468.25
RIR,1524.29,191.56
SUMMITSEC,1530.61,1404.0
KRISHNADEF,1533.04,1025.6
AHCL,1533.95,28.86
IPL,1537.09,133.47
RUBYMILLS,1538.07,459.95
MIIL,1543.36,710.45
NITTAGELA,1543.69,1700.1
YUKEN,1545.79,1137.95
DOLLAR,1547.22,272.8
SURYODAY,1556.18,146.4
SESHAPAPER,1557.4,246.94
MOL,1562.76,61.45
RSL,1564.97,187.27
KPEL,1565.73,230.94
VIVIDEL,1567.36,1763.5
UTSSAV,1575.29,652.35
KOTIC,1586.73,146.89
IKIO,1591.83,205.98
QLINE,1593.9,683.25
SERVOTECH,1595.37,70.64
DPEL,1598.14,640.15
GCSL,1598.34,639.2
AURUM,1601.21,222.04
GOCOLORS,1619.43,307.9
PNGSREVA,1622.01,511.7
ACCENTMIC,1622.98,676.55
GOODYEAR,1629.32,706.25
SHREEPUSHK,1635.8,505.85
ALLCARGO,1637.07,10.93
ARDEE,1641.57,52.08
ASIANHOTNR,1641.81,385.1
MOBIKWIK,1645.97,209.02
CAPACITE,1647.49,194.73
KROSS,1652.28,256.13
DIFFNKG,1652.74,441.6
DELTACORP,1654.02,61.77
JAICORPLTD,1654.13,94.25
STUDDS,1658.55,421.45
ONEPOINT,1661.76,63.2
CNL,1664.0,1108.1
GRMOVER,1669.91,80.59
ACCELYA,1669.95,1118.8
BFINVEST,1671.16,443.75
RGL,1683.94,156.78
VOEPL,1688.75,493.05
GARUDA,1689.27,181.56
INDOKEM,1693.37,607.2
PFS,1697.55,26.43
INDIAGLYCO,1699.8,253.6
PVP,1701.74,65.35
JINDRILL,1703.01,587.65
YATRA,1707.56,108.82
MENONBE,1718.75,306.7
WENDT,1725.4,8627.0
SMCGLOBAL,1726.08,82.43
PAUSHAKLTD,1728.33,700.95
RICOAUTO,1733.73,128.14
IGPL,1734.98,563.4
KAPSTON,1736.31,570.55
AYMSYNTEX,1736.59,295.4
GRANDOAK,1743.45,33.6
EPACK,1747.9,181.55
XTRANET,1748.22,334.36
TARSONS,1763.79,331.5
HGS,1766.14,379.65
NGLFINE,1767.11,2859.4
HATHWAY,1768.33,9.99
BLUECLOUDS,1769.55,19.17
ASTEC,1770.37,794.5
DISAQ,1771.95,12185.0
INSECTICID,1779.62,611.6
SCILAL,1782.61,38.27
LAOPALA,1782.77,160.61
NDRAUTO,1791.51,753.2
VIDHIING,1797.77,359.95
HPL,1799.45,279.85
VIDYAWIRES,1802.99,84.77
NUCLEUS,1805.78,685.95
KRSNAA,1809.59,557.85
MAHASTEEL,1810.74,1101.8
DEEPA,1811.27,188.43
TECHNOCRAF,1811.98,457.5
TINNARUBR,1816.17,1008.1
EIHAHOTELS,1820.78,298.8
DCXINDIA,1821.17,163.5
TEAMLEASE,1835.3,1201.0
SURAKSHA,1840.53,353.4
TAALTECH,1847.06,1185.4
CAMLINFINE,1852.77,96.45
HESTERBIO,1853.39,2178.7
HUHTAMAKI,1861.99,246.55
