symbol,mcap_cr,current_price
DIFFNKG,1503.79,401.8
AMRUTANJAN,1508.12,521.65
IKIO,1512.38,195.7
INFOBEAN,1520.37,156.78
WALCHANNAG,1520.45,223.91
FRONTSP,1528.69,1293.8
TTKHLTCARE,1529.04,1082.1
SDBL,1529.53,73.57
IVALUE,1531.19,279.65
MIIL,1531.42,704.95
JAGSNPHARM,1536.09,232.99
DANISH,1538.01,781.05
MOBIKWIK,1540.76,195.66
AYMSYNTEX,1543.18,262.5
DOLLAR,1543.53,272.15
GTLINFRA,1549.94,1.21
MVELECTRO,1550.48,568.3
KRISHNADEF,1551.43,1037.9
SUMMITSEC,1555.9,1427.2
IFGLEXPOR,1556.32,215.92
DLINKINDIA,1556.53,438.4
KOTIC,1560.91,144.5
MOL,1562.25,61.43
MENONBE,1564.36,279.15
ALLCARGO,1574.17,10.51
HITECH,1582.01,77.89
BLIL,1585.77,71.44
SURAKSHA,1589.24,305.15
MBEL,1589.64,278.1
IPL,1589.95,138.06
MMWL,1591.5,14.05
CEINSYS,1593.36,761.0
DELTACORP,1593.77,59.52
GNRL,1595.69,104.02
VIDHIING,1595.74,319.5
KAPSTON,1597.08,524.8
INDOBORAX,1598.56,498.15
INDORAMA,1600.36,61.29
VIKRAN,1615.04,62.62
SPMLINFRA,1619.59,190.89
WENDT,1621.9,8109.5
AVADHSUGAR,1630.9,814.7
SURYODAY,1642.71,154.54
INDOKEM,1646.52,590.4
AURUM,1656.26,229.8
HINDWAREAP,1659.96,198.45
TBZ,1660.59,248.85
SPICEJET,1661.92,10.89
VOEPL,1663.06,485.55
SHALBY,1669.51,154.57
DISAQ,1673.5,11508.0
MTNL,1687.77,26.79
RACLGEAR,1692.18,1435.5
GARUDA,1695.69,182.25
SMCGLOBAL,1698.86,81.13
BFINVEST,1700.35,451.5
ACCELYA,1700.85,1139.5
CAPACITE,1723.64,203.73
SPANDANA,1735.92,243.45
GOCOLORS,1736.46,330.15
KPEL,1740.04,256.65
MCLOUD,1741.87,29.57
PNGSREVA,1751.34,552.5
RHETAN,1755.52,22.03
BGRENERGY,1758.22,243.65
GOODYEAR,1760.01,762.9
STUDDS,1763.03,448.0
BLUSPRING,1763.53,117.96
JAICORPLTD,1764.35,100.53
INSECTICID,1764.93,606.55
RICOAUTO,1779.74,131.54
KRSNAA,1784.13,550.0
PFS,1786.83,27.82
GRMOVER,1792.99,86.53
TARSONS,1794.65,337.3
EIHAHOTELS,1795.49,294.65
YATRA,1798.89,114.64
JINDRILL,1821.97,628.7
WEL,1823.04,136.04
ALGOQUANT,1830.78,65.13
5PAISA,1832.63,390.9
NDRAUTO,1840.51,773.8
KABRAEXTRU,1850.41,529.1
VINYAS,1856.31,1475.05
VIDYAWIRES,1858.93,87.4
SCILAL,1863.66,40.01
SERVOTECH,1864.58,82.56
HATHWAY,1865.69,10.54
CNL,1874.31,1248.15
NGLFINE,1874.58,3033.3
GRANDOAK,1880.95,36.25
MAHASTEEL,1881.41,1144.8
AWFIS,1882.11,263.0
TIRUMALCHM,1885.57,156.41
OMAXE,1886.8,103.16
TINNARUBR,1886.97,1047.4
MOTISONS,1887.12,16.59
BCG,1888.77,9.36
AEROPLANE,1890.44,182.56
HGS,1891.05,406.5
JAYKAY,1898.02,145.68
SBC,1898.09,39.86
TEAMLEASE,1898.1,1242.1
TIL,1904.84,231.6
SHUKRAPHAR,1904.85,43.33
RATNAVEER,1923.09,269.24
MSPL,1924.84,33.96
MARSONS,1930.1,112.15
DCXINDIA,1934.89,173.71
ARDEE,1937.86,61.48
