symbol,mcap_cr,current_price
KRISHNADEF,1505.84,1007.4
SDBL,1508.95,72.58
SHREEPUSHK,1513.57,468.05
MBEL,1521.05,266.1
HINDWAREAP,1523.03,182.08
INFOBEAN,1524.64,157.22
DELTACORP,1524.96,56.95
FERMENTA,1532.32,520.65
ELITECON,1536.16,9.61
SUMMITSEC,1540.75,1413.3
OAL,1541.17,457.95
MCLOUD,1548.07,26.28
UDS,1549.57,231.44
HITECH,1554.59,76.54
JAGSNPHARM,1563.39,237.03
MIIL,1569.65,722.55
IPL,1571.41,136.45
5PAISA,1577.82,336.55
INDIAGLYCO,1583.17,236.2
AEROENTER,1589.5,140.46
DLINKINDIA,1590.08,447.85
IKIO,1593.06,206.14
WENDT,1598.3,7991.5
TTKHLTCARE,1598.85,1131.5
MMWL,1600.56,14.13
BLIL,1600.65,72.11
PVP,1609.56,61.81
SURYODAY,1613.69,151.81
ASIANHOTNR,1619.64,379.9
GARUDA,1622.09,174.34
AURUM,1622.2,224.95
INDOBORAX,1624.24,506.15
AVADHSUGAR,1624.9,811.7
SHALBY,1634.51,151.33
KPEL,1634.88,241.14
MENONBE,1647.02,293.9
PNGSREVA,1653.71,521.7
QUADFUTURE,1660.0,415.0
NGLFINE,1661.62,2688.7
SMCGLOBAL,1662.01,79.37
MTNL,1665.09,26.43
INDOKEM,1666.46,597.55
MOL,1672.12,65.75
RHETAN,1675.03,21.02
DANISH,1678.22,852.25
IGPL,1682.63,546.4
SPANDANA,1682.66,235.98
MODISONLTD,1689.51,520.65
ACCELYA,1694.28,1135.1
GOODYEAR,1698.18,736.1
GOCOLORS,1700.69,323.35
RICOAUTO,1700.72,125.7
STUDDS,1705.58,433.4
BFINVEST,1705.81,452.95
NDRAUTO,1710.52,719.15
VIDHIING,1712.61,342.9
JAICORPLTD,1720.12,98.01
CAPACITE,1734.55,205.02
PFS,1741.87,27.12
INDORAMA,1743.45,66.77
KAPSTON,1746.05,573.75
DISAQ,1746.21,12008.0
MOTISONS,1755.17,15.43
BGRENERGY,1766.3,244.77
SURAKSHA,1772.57,340.35
