symbol,mcap_cr,current_price
SHANTIGOLD,1500.69,208.15
GALAPREC,1502.25,1172.15
WENDT,1505.21,7526.05
DOLPHIN,1509.57,377.35
DSSL,1512.95,1187.85
VIDHIING,1520.82,304.5
INFOBEAN,1532.25,158.0
ALLTIME,1532.54,233.95
MOTISONS,1534.47,13.49
AMRUTANJAN,1536.04,531.3
IVALUE,1539.25,281.75
SDBL,1544.71,74.3
QUADFUTURE,1547.4,386.85
PNBGILTS,1551.69,86.2
BLIL,1559.8,70.27
SIGNPOST,1568.71,293.5
WAAREEINDO,1577.0,379.05
ASALCBR,1583.22,788.5
RACLGEAR,1584.61,1344.25
DLINKINDIA,1587.43,447.1
GTLINFRA,1588.33,1.24
UEL,1602.11,120.1
MOBIKWIK,1607.63,204.15
MCLOUD,1612.25,27.37
BLUSPRING,1614.73,108.05
IZMO,1616.47,1080.35
GARUDA,1618.5,173.95
SUMMITSEC,1623.11,1488.85
VOEPL,1626.49,510.95
MONOLITH,1630.21,750.0
SMCGLOBAL,1633.74,78.02
VINYAS,1637.28,1301.0
IKIO,1639.5,212.15
FRONTSP,1641.05,1388.9
AURUM,1641.47,227.75
MMWL,1642.49,14.5
OMAXE,1643.17,89.84
SKMEGGPROD,1647.19,312.8
DANISH,1648.07,836.95
YATRA,1652.31,105.3
TARSONS,1657.68,311.55
NINSYS,1668.13,898.0
NITTAGELA,1673.3,1842.85
WALCHANNAG,1673.67,246.7
DELTACORP,1681.92,62.81
SOLARWORLD,1697.89,195.9
SPICEJET,1704.68,11.17
ACCELYA,1707.65,1144.05
JINDRILL,1707.8,589.3
ASIANENE,1707.87,351.2
SPMLINFRA,1715.57,202.2
MBEL,1721.01,301.15
TIL,1723.09,209.0
IPL,1727.41,150.0
BFINVEST,1728.59,459.0
KODYTECH,1736.74,1215.05
5PAISA,1742.16,371.6
DISAQ,1743.87,11992.0
MTNL,1748.25,27.75
HITECH,1753.41,86.33
KRSNAA,1753.82,540.65
STUDDS,1755.95,446.2
TBZ,1758.39,263.5
GOCOLORS,1761.94,335.0
SHALBY,1765.96,163.5
HINDWAREAP,1788.79,213.85
JAICORPLTD,1795.42,102.3
INSECTICID,1801.01,618.95
WINDLAS,1807.69,876.0
RICOAUTO,1809.64,133.75
KOTIC,1816.93,168.2
VIKRAN,1818.27,70.5
JAYBARMARU,1820.8,168.2
CEINSYS,1821.68,870.05
ESAFSFB,1830.26,35.47
CAPACITE,1833.36,216.7
GRMOVER,1864.26,89.97
SAKAR,1868.13,839.6
ALGOQUANT,1884.43,67.04
AEROPLANE,1891.37,182.65
PFS,1894.72,29.5
GOODYEAR,1896.02,821.85
SIMPLEXINF,1901.84,240.45
JGCHEM,1907.17,486.7
BCG,1912.94,9.48
HATHWAY,1915.26,10.82
SURYODAY,1915.88,180.25
NDRAUTO,1919.94,807.2
VIDYAWIRES,1920.61,90.3
SHK,1925.41,139.1
SCILAL,1937.75,41.6
EIHAHOTELS,1943.88,319.0
KRISHNADEF,1946.03,1301.9
GOCLCORP,1948.19,393.0
PRABHA,1951.58,142.55
NUCLEUS,1958.07,743.8
TINNARUBR,1969.01,1092.95
DYCL,1972.71,407.1
MARSONS,1979.14,115.0
HGS,1988.49,427.45
TIRUMALCHM,1992.76,165.3
MVKAGRO,1999.44,395.9
INDIANHUME,2003.75,380.35
SBC,2005.68,42.12
MSPL,2007.59,35.42
NGLFINE,2008.49,3250.0
ANONDITA,2029.3,1122.0
DCXINDIA,2029.99,182.25
BGRENERGY,2034.95,282.0
INDSWFTLAB,2037.48,234.3
AWFIS,2038.45,284.85
ARMANFIN,2039.8,1939.9
SOMANYCERA,2055.13,501.1
MUKANDLTD,2063.39,142.8
THEJO,2064.69,1903.4
HESTERBIO,2068.04,2431.05
GMBREW,2070.15,906.1
PARACABLES,2072.75,63.34
CANTABIL,2073.8,247.95
KPEL,2082.41,307.15
LAOPALA,2109.57,190.05
VENKEYS,2110.27,1498.0
SHRINGARMS,2117.65,219.6
GRANDOAK,2121.19,40.88
NELCO,2123.77,930.65
BAJEL,2128.84,184.0
HMT,2133.96,60.01
HONDAPOWER,2134.87,2105.4
BHARATRAS,2134.95,1284.5
SANSTAR,2146.86,107.2
LANDMARK,2150.99,518.75
INDOCO,2161.32,234.15
APOLLOPIPE,2162.76,491.0
JAYKAY,2164.08,166.1
KCP,2164.61,167.9
HINDOILEXP,2168.81,164.0
ALPEXSOLAR,2183.28,854.75
STYLEBAAZA,2196.0,288.5
JISLJALEQS,2196.02,30.15
ELCIDIN,2200.0,110000.0
HPL,2202.96,342.6
HUHTAMAKI,2209.06,292.5
BFUTILITIE,2221.22,589.8
SUMEETINDS,2222.5,31.99
PRAKASH,2223.27,124.15
TCIEXP,2228.33,580.0
SIRCA,2234.23,393.4
ORISSAMINE,2236.5,3727.5
TAJGVK,2238.76,357.05
GNA,2239.05,521.55
TEAMLEASE,2240.9,1336.35
VERANDA,2245.02,233.0
SAKSOFT,2246.69,169.5
PENIND,2249.25,166.0
EPACK,2254.62,234.3
COSMOFIRST,2257.38,859.95
SERVOTECH,2264.55,100.27
VENUSREM,2269.73,1698.0
RHETAN,2271.06,28.5
VINDHYATEL,2271.17,1916.6
VINCOFE,2272.72,156.0
TECHNVISN,2273.38,3620.0
ALEMBICLTD,2275.08,88.6
GEOJITFSL,2278.48,81.63
TASTYBITE,2282.03,8893.35
ANANTAM,2284.18,105.02
EMSLIMITED,2287.88,412.0
TVSINVIT,2288.51,116.05
GANDHAR,2290.36,234.0
SPANDANA,2306.07,285.7
KNACK,2321.23,189.7
CAMLINFINE,2324.39,121.0
BRIGHOTEL,2332.62,61.41
SAGCEM,2339.67,179.0
MOLDTKPAC,2345.96,706.0
GSPCROP,2362.93,507.95
PROTEAN,2380.17,585.95
BLSE,2380.91,262.05
NIBE,2384.56,1538.25
BETA,2386.71,2290.4
NILKAMAL,2387.22,1600.0
EXICOM,2390.2,171.85
KICL,2393.08,5476.15
VEEDOL,2423.17,1390.7
GREENPANEL,2428.65,198.05
EPACKPEB,2431.21,241.6
DRAGARWQ,2437.68,5044.0
SPAL,2438.62,970.05
SAIPARENT,2443.77,553.15
SUNDROP,2445.21,648.65
AJMERA,2452.05,124.6
ORIENTHOT,2454.79,137.45
SIKA,2455.29,1158.1
REPCOHOME,2461.15,393.4
PIXTRANS,2462.13,1806.4
RANEHOLDIN,2467.3,1727.8
CONFIPET,2477.88,74.58
SILVERTUC,2484.21,195.9
RISHABH,2485.37,642.85
GIPCL,2486.55,160.2
KLBRENG-B,2487.82,444.25
BOMDYEING,2497.01,120.9
MUFIN,2502.81,126.3
TALBROAUTO,2505.84,405.95
NITCO,2513.89,104.5
RAJRATAN,2523.28,497.0
ADVAIT,2526.68,2308.9
STOVEKRAFT,2534.53,765.55
SPORTKING,2551.55,200.8
SOLARA,2551.92,534.05
GLOBUSSPR,2559.65,880.2
FISCHER,2564.4,39.18
UTKARSHBNK,2580.3,14.5
RELINFRA,2582.14,63.19
INA,2584.78,117.25
ARKADE,2590.9,139.55
BNAGROCHEM,2600.76,266.0
VIMTALABS,2603.0,582.5
RAMKY,2608.75,377.0
UFBL,2616.25,669.35
ADOR,2618.59,1504.7
MARATHON,2622.59,388.85
FLAIR,2626.43,249.2
RAJESHEXPO,2627.79,89.0
KIRIINDUS,2634.07,404.2
MEDIASSIST,2635.13,352.75
JNKINDIA,2635.43,471.0
HIKAL,2640.49,214.15
EVEREADY,2644.02,363.75
CAPINVIT,2652.85,73.9
FMGOETZE,2655.48,477.35
MMFL,2679.38,554.95
MANGLMCEM,2684.97,976.45
ELITECON,2695.07,16.86
IMAGICAA,2696.89,47.66
PARKHOTELS,2699.21,126.5
DIAMONDYD,2704.4,1131.05
EASEMYTRIP,2717.56,6.82
NXT-INFRA,2724.89,95.61
ARVSMART,2726.58,594.45
ROADSTAR,2732.86,60.0
INDNIPPON,2734.94,1209.0
ZAGGLE,2739.62,203.75
NOCIL,2742.53,164.2
ROSSARI,2742.57,495.1
AUTOAXLES,2742.69,1815.15
PARAGMILK,2744.58,218.5
AIMTRON,2751.62,1335.15
PANAMAPET,2764.85,457.05
SATIN,2782.74,251.9
MONARCH,2802.76,353.4
KPL,2806.77,2705.0
DREDGECORP,2807.28,1002.6
ORIENTCEM,2807.62,136.65
JTLIND,2807.98,73.5
GKENERGY,2814.07,138.75
BOROLTD,2822.27,236.0
EFCIL,2822.78,190.8
MAITHANALL,2831.11,972.5
RSYSTEMS,2832.03,239.0
PANACEABIO,2842.34,464.05
NSIL,2842.44,5530.0
DIVGIITTS,2845.59,930.45
JINDALPOLY,2855.74,652.2
JUBLCPL,2856.25,1885.0
APCOTEXIND,2861.81,552.0
SIYSIL,2862.86,631.0
GATEWAY,2872.94,57.5
INDOTHAI,2874.66,216.4
PRINCEPIPE,2883.42,260.8
PATELENG,2887.13,29.1
SASKEN,2887.19,1901.15
KITEX,2894.76,145.1
HUBTOWN,2896.68,203.85
BBL,2900.35,2566.0
STALLION,2902.11,250.0
DDEVPLSTIK,2904.58,280.7
MOREPENLAB,2918.94,53.27
BUILDPRO,2924.46,1206.0
ASHIKA,2930.78,396.45
DCAL,2932.63,187.05
HLEGLAS,2934.1,422.45
POKARNA,2950.04,951.5
RAMCOIND,2952.65,340.0
DALMIASUG,2959.55,365.65
ELPROINTL,2960.78,174.7
VSSL,2971.61,307.3
ORIANA,2976.74,1465.0
WONDERLA,2982.16,470.0
SUNCLAY,2997.83,1359.8
BEPL,3001.16,120.6
NITINSPIN,3007.76,535.0
TCPLPACK,3009.3,3306.9
RPSGVENT,3015.17,911.3
BALMLAWRIE,3018.23,176.5
DEEPINDS,3020.8,472.0
TVSSRICHAK,3029.51,3955.0
UNIPARTS,3053.68,676.45
KKCL,3054.43,495.65
WINDMACHIN,3062.39,296.0
RAMCOSYS,3062.78,814.9
HERITGFOOD,3067.36,330.55
CARRARO,3088.72,543.3
INTERARCH,3089.4,1842.0
CHEMPLASTS,3107.68,196.55
STEELCAS,3108.36,307.15
EUROPRATIK,3108.92,304.2
ANTELOPUS,3129.4,890.0
SANGAMIND,3150.45,627.0
XPROINDIA,3171.92,1351.45
RML,3178.55,1150.1
NAVNETEDUL,3192.11,144.3
NPST,3195.25,1531.5
DPABHUSHAN,3195.34,1399.75
SHANTIGEAR,3201.74,417.35
NIITMTS,3201.98,232.3
FILATEX,3203.46,72.14
JASH,3216.53,509.0
GANECOS,3221.3,1202.15
GOPAL,3238.82,259.8
CRIZAC,3240.69,185.2
63MOONS,3254.53,706.3
ARSSBL,3264.33,517.6
CARYSIL,3280.29,1153.3
ADFFOODS,3288.77,299.35
ANZEN,3324.35,130.0
SPECTRUM,3327.02,2117.25
SEIL,3339.17,207.4
GRAUWEIL,3373.38,74.4
INDRAMEDCO,3375.84,368.25
BHAGCHEM,3417.44,263.55
KOLTEPATIL,3420.37,385.7
KNRCON,3428.29,121.9
SAMBHV,3434.39,116.55
ASHOKA,3438.83,122.5
WHEELS,3456.77,1414.8
RELTD,3456.79,174.1
NFL,3468.9,70.71
SEAMECLTD,3487.15,1371.55
MAYURUNIQ,3492.92,803.85
POLYPLEX,3506.54,1117.0
PITTIENG,3507.46,931.5
ADVENZYMES,3513.79,313.8
UFLEX,3515.25,486.8
WELSPLSOL,3530.37,53.28
VENUSPIPES,3541.24,1709.4
FUSION,3557.01,220.0
ROUTE,3561.25,565.25
HGINFRA,3570.08,547.8
MARINE,3572.05,255.25
GMMPFAUDLR,3592.54,799.1
BOSCH-HCIL,3600.92,1324.35
SANDHAR,3606.89,599.25
PREMEXPLN,3609.76,671.45
HEIDELBERG,3622.41,159.85
SAMHI,3627.43,163.3
SMSPHARMA,3629.0,387.5
WSTCSTPAPR,3637.41,550.7
INDOTECH,3646.93,3434.0
KERNEX,3659.49,2177.8
JTEKTINDIA,3674.12,132.45
JKIL,3679.24,486.25
ORIENTELEC,3698.67,173.35
DECNGOLD,3703.8,186.4
INDIQUBE,3708.9,174.95
TARC,3713.8,125.85
SANGHVIMOV,3718.46,429.5
JINDWORLD,3722.67,37.13
LUXIND,3725.86,1239.0
TRUALT,3725.93,434.5
UNICHEMLAB,3745.58,532.0
HARSHA,3747.39,411.6
ROSSTECH,3758.71,997.1
AARTIDRUGS,3769.52,413.0
TFCILTD,3784.83,81.75
BAJAJELEC,3804.49,329.7
EMUDHRA,3809.35,460.0
CAPILLARY,3810.69,479.5
DBCORP,3830.71,214.9
VSTTILLERS,3833.17,4430.0
GUJTHEM,3835.58,352.0
TURTLEMINT,3837.05,130.3
NRBBEARING,3841.02,396.3
KDDL,3843.21,3124.75
ASHIANA,3850.6,383.05
FOSECOIND,3851.54,5110.0
KSL,3860.43,884.35
LASERPOWER,3861.48,275.1
SINDHUTRAD,3864.08,25.06
HEMIPROP,3868.91,135.75
MANINDS,3869.77,515.9
GUFICBIO,3877.47,386.65
RAMRAT,3889.37,416.65
YASHO,3898.05,3233.0
ROLEXRINGS,3908.03,143.5
TATVA,3909.18,1671.15
EIEL,3931.03,223.95
GHCL,3934.79,428.0
VSTIND,3935.67,231.7
KIRLOSIND,3967.91,3775.6
MAHLOG,4014.52,404.6
MANINFRA,4016.49,99.5
RAYMOND,4030.05,605.35
AGIIL,4044.3,323.55
ELLEN,4046.96,287.15
SEITINVIT,4082.4,126.0
BAJAJHIND,4083.26,17.08
OSWALPUMPS,4085.38,358.35
GREENPLY,4086.81,327.2
SOTL,4094.06,597.15
POCL,4125.86,540.9
SHAREINDIA,4136.91,189.05
SHOPERSTOP,4146.21,376.5
MSTCLTD,4153.98,590.05
VMARCIND,4157.63,283.75
SANATHAN,4161.12,493.0
UNIVCABLES,4171.09,1202.2
VIPIND,4176.33,294.0
NOVARTIND,4179.08,1692.55
PSPPROJECT,4186.96,1056.2
ANUP,4198.61,2096.0
VRLLOG,4248.36,242.85
INDOSTAR,4249.89,263.0
MUTHOOTMF,4258.93,249.8
VISHNU,4261.75,633.1
SBCL,4275.68,742.25
REFEX,4281.26,312.0
STYRENIX,4281.41,2434.0
PACEDIGITK,4284.59,198.5
MHRIL,4287.62,212.2
IDEAFORGE,4287.9,863.0
SUNTECK,4295.86,292.55
BANARISUG,4302.44,3431.05
AGI,4305.93,665.55
JUNIPER,4312.1,193.8
VAIBHAVGBL,4332.78,258.9
RAYMONDLSL,4339.0,712.2
IOLCP,4345.67,148.05
AYE,4363.09,176.8
SWARAJENG,4367.87,3595.0
ARTEMISMED,4368.45,275.95
SGFIN,4368.87,663.0
KSCL,4391.37,853.7
MPSLTD,4393.43,2568.35
QUESS,4399.4,294.55
HIRECT,4403.29,1281.05
WPIL,4403.47,450.85
AVANTEL,4404.13,165.75
SSWL,4405.77,280.3
RAYMONDREL,4415.49,663.25
RALLIS,4417.39,227.15
WEBELSOLAR,4417.62,101.75
ELECTCAST,4418.17,71.47
ZOTA,4426.0,1278.0
RTNINDIA,4441.26,32.13
KRISHANA,4443.82,143.75
NETWORK18,4454.86,28.89
COCKERILL,4468.74,9050.0
CMSINFO,4497.12,272.55
DHANUKA,4501.09,1009.7
TEXRAIL,4532.53,111.4
MIDWESTLTD,4545.41,1257.0
GUJALKALI,4582.65,624.0
AURIONPRO,4583.13,829.35
RTNPOWER,4634.4,8.63
WAKEFIT,4636.99,139.95
FCL,4638.22,39.83
HAWKINCOOK,4655.21,8800.0
DEEDEV,4661.43,673.0
RENUKA,4689.05,22.03
RBA,4689.11,65.91
MOSCHIP,4711.0,242.25
BLISSGVS,4741.8,447.1
SYMPHONY,4751.75,691.95
LUMAXIND,4754.48,5085.0
RESPONIND,4765.63,178.75
CMRGREEN,4775.4,218.0
SWSOLAR,4786.42,204.95
THOMASCOOK,4809.64,102.25
PILANIINVS,4816.43,4350.0
SHARDAMOTR,4817.1,839.1
NORTHARC,4845.49,299.75
LXCHEM,4851.19,175.0
VADILALIND,4867.65,6770.0
GULFOILLUB,4870.08,982.75
SHILCTECH,4875.47,4261.7
RPTECH,4914.44,745.75
EPIGRAL,4919.02,1140.2
ICRA,4946.26,5125.0
LGBBROSLTD,4955.94,1553.95
RPGLIFE,4957.6,2997.55
