symbol,mcap_cr,current_price
JGCHEM,2398.97,612.2
RATNAVEER,2401.13,286.1
STALLION,2410.06,207.61
PARKHOTELS,2414.12,113.14
JNKINDIA,2414.13,431.45
ADVAIT,2419.39,2210.9
SATIN,2423.4,219.37
RAMKY,2431.26,351.35
HINDOILEXP,2438.3,184.38
PIXTRANS,2452.58,1799.4
ZAGGLE,2455.61,182.63
HMT,2456.14,69.07
FREDUN,2461.36,1488.3
RAJESHEXPO,2464.24,83.46
KITEX,2466.62,123.64
COSMOFIRST,2467.87,940.15
SUNDROP,2474.42,656.4
DOLPHIN,2478.68,619.6
SIRCA,2501.15,440.4
BETA,2504.19,2258.9
INDNIPPON,2509.62,1109.4
JAYKAY,2511.19,166.46
RAJRATAN,2513.67,495.1
INDOCO,2515.83,272.56
ORIANA,2518.97,1239.7
ROSSARI,2531.51,457.0
SIYSIL,2534.6,558.65
ORIENTHOT,2535.39,141.96
KLBRENG-B,2538.22,453.25
TALBROAUTO,2544.13,412.15
ASIANENE,2544.25,523.0
VEEDOL,2548.78,1462.8
MEDIASSIST,2569.37,343.95
ORISSAMINE,2574.18,4290.3
AUTOAXLES,2576.86,1705.4
POKARNA,2577.67,831.4
TASTYBITE,2579.34,10052.0
DRAGARWQ,2580.25,5339.0
VINCOFE,2585.23,176.48
FISCHER,2587.23,37.03
BBL,2597.8,2298.3
FLAIR,2614.96,248.11
GANDHAR,2617.3,267.4
GKENERGY,2627.5,129.55
DYCL,2637.6,544.3
ORIENTCEM,2639.75,128.48
CHEMPLASTS,2640.9,167.03
UTKARSHBNK,2649.71,14.89
SPAL,2671.76,1062.8
PATELENG,2689.7,27.11
APOLLOPIPE,2706.98,614.55
MUFIN,2713.24,136.92
GANECOS,2720.86,1015.4
GATEWAY,2723.06,54.5
EUROPRATIK,2728.74,267.0
HUBTOWN,2731.17,192.2
CAPINVIT,2735.08,76.19
RPSGVENT,2757.09,833.3
DCAL,2774.9,176.99
DIAMONDYD,2775.4,1159.8
STOVEKRAFT,2780.19,839.75
MONOLITH,2795.47,1286.1
CONFIPET,2800.13,84.28
ALEMBICLTD,2812.02,109.51
UFBL,2813.34,719.2
RAMCOIND,2813.67,324.0
DDEVPLSTIK,2819.74,272.5
CRIZAC,2839.44,162.27
RISHABH,2844.03,734.95
SUNCLAY,2846.82,1291.3
INTERARCH,2860.91,1701.2
NOCIL,2869.49,171.8
ROADSTAR,2869.51,63.0
KERNEX,2872.75,1709.6
SANGAMIND,2873.35,571.85
SASKEN,2890.03,1902.4
GLOBUSSPR,2893.34,919.65
GSPCROP,2911.61,625.9
VIMTALABS,2914.7,652.25
TBZ,2917.13,437.15
NSIL,2921.06,5683.0
NAVNETEDUL,2921.78,132.08
SPORTKING,2930.28,230.6
PANAMAPET,2931.22,484.55
ARVSMART,2932.82,639.0
JASH,2933.14,464.15
MARATHON,2933.5,434.95
ADFFOODS,2938.85,267.5
BLSE,2940.57,323.65
ELPROINTL,2956.39,174.44
HIKAL,2963.66,240.36
EFCIL,2971.35,200.84
BOROLTD,2973.31,248.63
ADOR,2983.89,1714.6
JINDALPOLY,2993.68,683.7
RSYSTEMS,2993.68,252.64
XPROINDIA,3004.91,1280.3
STYLEBAAZA,3005.49,394.85
DREDGECORP,3009.16,1074.7
SOLARA,3010.34,629.85
MANGLMCEM,3019.75,1098.2
MAITHANALL,3023.23,1038.5
MONARCH,3024.03,381.3
PRABHA,3025.2,220.97
BALMLAWRIE,3025.57,176.93
CARRARO,3035.59,533.95
UEL,3069.48,230.1
NIITMTS,3076.22,222.91
IMAGICAA,3086.77,54.55
MMFL,3098.71,641.8
DPABHUSHAN,3103.23,1359.4
KKCL,3104.68,503.8
RML,3115.81,1127.4
BUILDPRO,3125.25,1288.8
HGINFRA,3127.56,479.9
NILKAMAL,3149.76,2111.1
RELTD,3160.11,159.15
MAYURUNIQ,3166.83,728.8
ROUTE,3173.15,503.65
ASHIKAG,3173.25,429.25
OSWALPUMPS,3187.01,279.55
PARAGMILK,3192.99,254.2
PRINCEPIPE,3200.74,289.5
GRAUWEIL,3211.97,70.84
STEELCAS,3216.64,317.85
TECHNVISN,3225.72,5136.5
BEPL,3228.69,129.74
WINDMACHIN,3228.97,312.1
GIPCL,3229.11,208.04
FUSION,3229.31,199.73
INDSWFTLAB,3241.06,372.7
VINDHYATEL,3242.4,2736.2
ARSSBL,3247.6,514.95
SEIL,3257.67,202.34
INDRAMEDCO,3266.77,356.35
CMLL,3277.94,501.4
CARYSIL,3290.81,1157.0
ASHOKA,3293.44,117.32
VENUSPIPES,3303.81,1594.8
GOPAL,3308.66,265.4
ADVENZYMES,3314.49,296.0
ANZEN,3324.35,130.0
WONDERLA,3333.51,525.25
KNRCON,3354.29,119.27
WEBELSOLAR,3357.39,77.33
LUMINO,3359.84,110.32
APCOTEXIND,3372.0,650.4
AIMTRON,3377.03,1620.35
JTEKTINDIA,3379.25,121.82
SAMHI,3392.99,152.59
FILATEX,3406.82,76.72
FMGOETZE,3414.01,613.7
PSPPROJECT,3416.92,861.95
JTLIND,3425.77,89.67
EIEL,3434.42,195.66
HERITGFOOD,3447.84,371.55
NFL,3450.25,70.33
BHAGCHEM,3453.09,266.3
DBCORP,3454.22,193.78
KPL,3477.79,3351.7
AGIIL,3478.68,278.3
JUBLCPL,3492.35,2304.8
SMSPHARMA,3503.99,374.15
VSSL,3519.44,363.95
LUXIND,3523.5,1171.7
MUTHOOTMF,3527.31,206.89
STYRENIX,3530.31,2007.0
VSTIND,3532.43,207.96
SPECTRUM,3544.57,2255.7
ANTELOPUS,3563.0,1013.3
RAYMONDREL,3573.35,536.75
PREMEXPLN,3582.38,666.35
HEIDELBERG,3584.79,158.19
NPST,3585.18,1718.4
PACEDIGITK,3588.1,166.23
HEMIPROP,3589.01,125.93
NITINSPIN,3599.49,640.25
TCPLPACK,3600.51,3956.6
VAIBHAVGBL,3608.81,215.3
VSTTILLERS,3612.78,4175.3
ANUP,3621.69,1808.0
POCL,3631.6,476.1
SANATHAN,3655.12,433.05
TRUALT,3656.49,426.4
GREENPLY,3659.63,293.0
TARC,3664.8,124.19
ASHIANA,3684.74,366.55
JKIL,3690.21,487.7
SINDHUTRAD,3692.92,23.95
SHAREINDIA,3704.06,169.27
WELSPLSOL,3711.95,56.02
DALMIASUG,3731.71,461.05
TATVA,3733.84,1596.2
ALOKINDS,3738.83,7.53
KIRIINDUS,3772.9,578.95
POLYPLEX,3775.57,1202.7
DIVGIITTS,3777.6,1235.2
SANDHAR,3779.07,627.85
RTNINDIA,3791.57,27.43
AURIONPRO,3793.44,686.45
ORIENTELEC,3801.11,178.15
MIDWESTLTD,3812.43,1054.3
ZOTA,3813.74,1101.2
SAMBHV,3820.12,129.64
CAPILLARY,3820.66,480.05
KSCL,3831.18,744.8
REFEX,3831.85,279.25
INDOTECH,3834.56,3610.7
BAJAJELEC,3856.43,334.2
UNICHEMLAB,3857.88,547.95
IDEAFORGE,3860.11,776.55
AARTIDRUGS,3886.73,425.85
RTNPOWER,3887.96,7.24
NACLIND,3898.98,166.45
KIRLOSIND,3914.5,3724.7
CMSINFO,3919.31,244.86
SANGHVIMOV,3921.89,453.0
63MOONS,3922.44,851.25
SYMPHONY,3933.5,572.8
RAYMONDLSL,3946.94,647.85
SEITINVIT,3952.8,122.0
