symbol,shares,ref_price,as_of_hhmm,volume_ratio_vs_prorated,return_pct
BEPL,431,128.7,1515,17.92,14.33
BETA,22,2445.1,1515,1.96,9.76
DPABHUSHAN,38,1434.35,1515,3.35,7.52
DYCL,126,440.0,1515,3.26,13.66
JGCHEM,114,484.0,1515,3.55,8.8
SDBL,730,76.08,1515,3.48,16.69
STYRENIX,23,2349.6,1515,1.45,5.14
TATVA,32,1713.7,1515,10.36,20.05
TINNARUBR,46,1189.9,1515,2.79,19.99
