symbol,snapshot_dates_appeared,most_recent_mcap_cr
MSPL,2026-07-16,2103.94
MSTCLTD,2026-07-16,4453.67
MTNL,2026-07-16,1816.35
MUFIN,2026-07-16,2512.88
MUKANDLTD,2026-07-16,2120.01
MUTHOOTMF,2026-07-16,4155.1
MVKAGRO,2026-07-16,2049.7
NAVKARCORP,2026-07-16,1757.21
NAVNETEDUL,2026-07-16,3309.55
NDRAUTO,2026-07-16,1965.69
NELCO,2026-07-16,1976.44
NETWORK18,2026-07-16,4681.17
NFL,2026-07-16,3599.38
NGLFINE,2026-07-16,1908.2
NIBE,2026-07-16,2395.1
NIITMTS,2026-07-16,3297.57
NILKAMAL,2026-07-16,2009.53
NINSYS,2026-07-16,1683.8
NITCO,2026-07-16,2709.58
NITINSPIN,2026-07-16,3077.92
NITTAGELA,2026-07-16,1774.14
NOCIL,2026-07-16,2774.78
NOVARTIND,2026-07-16,3916.58
NPST,2026-07-16,3408.58
NRBBEARING,2026-07-16,4086.72
NSIL,2026-07-16,2777.77
NUCLEUS,2026-07-16,1996.21
NXT-INFRA,2026-07-16,2724.89
OBSCP,2026-07-16,1725.2
OMAXE,2026-07-16,1764.97
ORIANA,2026-07-16,2999.82
ORIENTCEM,2026-07-16,2822.81
ORIENTELEC,2026-07-16,3697.21
ORIENTHOT,2026-07-16,2274.2
ORISSAMINE,2026-07-16,2227.42
OSWALPUMPS,2026-07-16,4601.8
PACEDIGITK,2026-07-16,4438.74
PANACEABIO,2026-07-16,3454.88
PANAMAPET,2026-07-16,2574.9
PARACABLES,2026-07-16,2184.06
PARAGMILK,2026-07-16,2839.13
PARKHOTELS,2026-07-16,2742.73
PATELENG,2026-07-16,3006.17
PENIND,2026-07-16,2316.99
PFS,2026-07-16,1928.77
PILANIINVS,2026-07-16,4876.97
PITTIENG,2026-07-16,3571.46
PIXTRANS,2026-07-16,2515.68
PNBGILTS,2026-07-16,1644.21
POCL,2026-07-16,4208.52
POKARNA,2026-07-16,3085.51
POLYPLEX,2026-07-16,3344.22
PRABHA,2026-07-16,2035.1
PRAKASH,2026-07-16,2261.6
PREMEXPLN,2026-07-16,3575.68
PRINCEPIPE,2026-07-16,2967.46
PROTEAN,2026-07-16,2395.63
PSPPROJECT,2026-07-16,4233.89
QUADFUTURE,2026-07-16,1636.06
QUESS,2026-07-16,4379.23
RACLGEAR,2026-07-16,1561.07
RAJESHEXPO,2026-07-16,2569.32
RAJRATAN,2026-07-16,2523.46
RALLIS,2026-07-16,4585.22
RAMCOIND,2026-07-16,3135.79
RAMCOSYS,2026-07-16,3119.44
RAMKY,2026-07-16,2718.74
RAMRAT,2026-07-16,3954.26
RANEHOLDIN,2026-07-16,2487.13
RAYMOND,2026-07-16,4089.66
RAYMONDLSL,2026-07-16,4433.09
RAYMONDREL,2026-07-16,4658.77
RBA,2026-07-16,3988.96
REFEX,2026-07-16,4340.99
RELINFRA,2026-07-16,2714.95
RELTD,2026-07-16,3481.77
RENUKA,2026-07-16,4799.74
REPCOHOME,2026-07-16,2523.06
RHETAN,2026-07-16,2457.49
RICOAUTO,2026-07-16,1701.67
RISHABH,2026-07-16,2551.34
RML,2026-07-16,3412.18
ROADSTAR,2026-07-16,2732.86
ROLEXRINGS,2026-07-16,4229.6
ROSSARI,2026-07-16,3011.82
ROSSTECH,2026-07-16,3831.85
ROUTE,2026-07-16,3582.65
RPGLIFE,2026-07-16,4834.4
RPSGVENT,2026-07-16,2945.34
RSYSTEMS,2026-07-16,2999.86
RTNINDIA,2026-07-16,4437.11
RTNPOWER,2026-07-16,4736.45
SAGCEM,2026-07-16,2305.01
SAIPARENT,2026-07-16,2533.83
SAKAR,2026-07-16,1995.71
SAKSOFT,2026-07-16,2410.97
SAMBHV,2026-07-16,3521.6
SAMHI,2026-07-16,3771.72
SANATHAN,2026-07-16,3777.57
SANDHAR,2026-07-16,3714.3
SANGAMIND,2026-07-16,3159.0
SANGHVIMOV,2026-07-16,3725.84
SANSTAR,2026-07-16,2222.13
SASKEN,2026-07-16,2991.69
SATIN,2026-07-16,2940.3
SBC,2026-07-16,2011.43
SBCL,2026-07-16,4166.56
SCILAL,2026-07-16,1955.89
SEAMECLTD,2026-07-16,3606.06
SEIL,2026-07-16,3296.29
SEITINVIT,2026-07-16,4009.5
SERVOTECH,2026-07-16,2189.35
SGFIN,2026-07-16,4254.81
SHALBY,2026-07-16,1804.48
SHANTIGEAR,2026-07-16,3325.67
SHANTIGOLD,2026-07-16,1539.68
SHARDAMOTR,2026-07-16,4995.29
SHAREINDIA,2026-07-16,3737.33
SHK,2026-07-16,1791.97
SHOPERSTOP,2026-07-16,4423.23
SHRINGARMS,2026-07-16,2181.41
SIGNPOST,2026-07-16,1736.55
SIKA,2026-07-16,2471.6
SILVERTUC,2026-07-16,2483.85
SIMPLEXINF,2026-07-16,2038.7
SINDHUTRAD,2026-07-16,3814.76
SIRCA,2026-07-16,2232.52
SIYSIL,2026-07-16,2860.8
SKMEGGPROD,2026-07-16,1742.27
SMCGLOBAL,2026-07-16,1702.36
SMSPHARMA,2026-07-16,3609.17
SOLARA,2026-07-16,2763.6
SOLARWORLD,2026-07-16,1842.85
SOMANYCERA,2026-07-16,2143.94
SOTL,2026-07-16,3979.21
SPAL,2026-07-16,2620.01
SPANDANA,2026-07-16,2431.26
SPECTRUM,2026-07-16,3106.02
SPICEJET,2026-07-16,1680.24
SPMLINFRA,2026-07-16,1739.86
SPORTKING,2026-07-16,2527.02
SSWL,2026-07-16,4181.12
STALLION,2026-07-16,2464.52
STEELCAS,2026-07-16,3074.39
STEELXIND,2026-07-16,1535.74
STOVEKRAFT,2026-07-16,2557.89
STUDDS,2026-07-16,1797.91
STYLEBAAZA,2026-07-16,2277.44
STYRENIX,2026-07-16,3907.18
SUMEETINDS,2026-07-16,2304.45
SUMMITSEC,2026-07-16,1652.72
SUNCLAY,2026-07-16,3066.84
SUNDROP,2026-07-16,2424.5
SUNTECK,2026-07-16,4572.68
SURYODAY,2026-07-16,1973.24
SWARAJENG,2026-07-16,4535.11
SYMPHONY,2026-07-16,4808.73
TAJGVK,2026-07-16,2244.41
TALBROAUTO,2026-07-16,2465.13
TARC,2026-07-16,3474.55
TARSONS,2026-07-16,1594.87
TASTYBITE,2026-07-16,2286.31
TATVA,2026-07-16,3313.76
TBZ,2026-07-16,1705.18
TCIEXP,2026-07-16,2222.13
TCPLPACK,2026-07-16,2964.02
TEAMLEASE,2026-07-16,2365.62
TECHNVISN,2026-07-16,2100.49
TEXRAIL,2026-07-16,4764.33
TFCILTD,2026-07-16,3879.29
THEJO,2026-07-16,2063.84
THOMASCOOK,2026-07-16,4901.85
TIL,2026-07-16,1791.66
TINNARUBR,2026-07-16,1775.73
TIRUMALCHM,2026-07-16,2001.06
TRUALT,2026-07-16,3606.77
TURTLEMINT,2026-07-16,4054.1
TVSINVIT,2026-07-16,2288.51
TVSSRICHAK,2026-07-16,3224.55
UEL,2026-07-16,1698.81
UFBL,2026-07-16,2885.55
UFLEX,2026-07-16,3157.92
UNICHEMLAB,2026-07-16,4259.93
