symbol,mcap_cr,current_price
VOEPL,1502.33,470.75
GPTINFRA,1506.09,118.88
DOLLAR,1506.1,265.55
DOLPHIN,1534.78,383.4
STEELXIND,1535.74,12.06
GALAPREC,1537.32,1196.8
SHANTIGOLD,1539.68,213.16
DSSL,1540.3,1210.8
MMWL,1540.84,13.47
AMRUTANJAN,1543.68,534.65
DIGITIDE,1550.76,103.96
WENDT,1557.81,7781.5
RACLGEAR,1561.07,1327.7
BLIL,1562.02,70.41
ASTEC,1562.29,700.45
IFGLEXPOR,1587.11,219.11
TARSONS,1594.87,299.5
MOTISONS,1599.32,14.08
ALLTIME,1609.57,245.41
WAAREEINDO,1613.6,387.95
GTLINFRA,1626.76,1.27
DLINKINDIA,1627.53,458.1
INFOBEAN,1633.84,168.46
ASALCBR,1635.73,813.95
QUADFUTURE,1636.06,409.45
IKIO,1642.63,212.79
PNBGILTS,1644.21,91.34
MONOLITH,1649.98,759.1
SUMMITSEC,1652.72,1514.7
GARUDA,1660.81,178.75
IZMO,1668.02,1119.5
FRONTSP,1670.99,1412.7
SPICEJET,1680.24,11.01
NINSYS,1683.8,893.55
ACCELYA,1683.86,1126.4
IVALUE,1689.69,308.85
WALCHANNAG,1692.65,249.85
VINYAS,1696.42,1348.0
UEL,1698.81,126.85
RICOAUTO,1701.67,125.94
SMCGLOBAL,1702.36,81.48
TBZ,1705.18,256.03
MCLOUD,1711.25,29.06
DANISH,1714.15,870.5
YATRA,1718.59,109.03
JINDRILL,1724.48,595.55
OBSCP,1725.2,667.5
DISAQ,1735.29,12086.0
DELTACORP,1736.51,65.11
SIGNPOST,1736.55,325.45
AURUM,1737.41,241.19
MOBIKWIK,1739.25,221.17
SPMLINFRA,1739.86,206.95
JGCHEM,1741.63,443.5
SKMEGGPROD,1742.27,331.2
WINDLAS,1755.22,850.25
NAVKARCORP,1757.21,116.25
HUHTAMAKI,1758.03,232.69
HITECH,1761.93,86.66
BLUSPRING,1762.22,117.85
OMAXE,1764.97,96.29
KRSNAA,1771.49,546.85
NITTAGELA,1774.14,1953.8
TINNARUBR,1775.73,985.35
ASIANENE,1780.81,365.15
BFINVEST,1782.83,473.6
TIL,1791.66,216.72
SHK,1791.97,129.17
STUDDS,1797.91,456.25
SHALBY,1804.48,166.49
5PAISA,1805.2,385.05
MTNL,1816.35,28.76
IPL,1816.72,157.63
KODYTECH,1828.06,1278.95
ALGOQUANT,1837.71,65.14
SOLARWORLD,1842.85,212.51
AMIRCHAND,1852.95,179.17
ESAFSFB,1860.19,36.06
GOCOLORS,1861.09,352.6
MBEL,1878.46,328.65
GOODYEAR,1885.62,817.9
VIKRAN,1887.4,73.32
JAICORPLTD,1893.16,107.82
DYCL,1901.95,393.3
KOTIC,1904.14,177.16
CEINSYS,1905.43,909.6
NGLFINE,1908.2,3087.4
MARSONS,1913.47,111.39
GRMOVER,1925.83,92.78
CAPACITE,1926.88,227.5
INSECTICID,1928.23,659.85
PFS,1928.77,30.01
KRISHNADEF,1940.07,1297.9
JAYBARMARU,1947.86,179.77
SCILAL,1955.89,42.01
HATHWAY,1961.28,11.08
BCG,1963.44,9.73
NDRAUTO,1965.69,829.15
EIHAHOTELS,1969.77,323.25
SURYODAY,1973.24,185.49
NELCO,1976.44,865.9
SAKAR,1995.71,896.95
NUCLEUS,1996.21,755.9
GOCLCORP,1997.28,402.95
TIRUMALCHM,2001.06,166.05
VIDYAWIRES,2008.25,94.35
NILKAMAL,2009.53,1341.1
SBC,2011.43,42.23
HGS,2031.81,437.15
PRABHA,2035.1,147.92
INDSWFTLAB,2035.47,233.89
SIMPLEXINF,2038.7,257.9
HINDWAREAP,2041.37,243.8
MVKAGRO,2049.7,405.85
GANDHAR,2060.48,210.95
LANDMARK,2063.17,499.7
THEJO,2063.84,1902.6
ARMANFIN,2063.88,1961.8
HESTERBIO,2075.62,2437.6
BAJEL,2077.3,179.99
HINDOILEXP,2079.28,157.34
GMBREW,2079.42,910.65
AWFIS,2080.37,291.25
VENKEYS,2082.92,1480.7
TECHNVISN,2100.49,3349.8
MSPL,2103.94,37.19
LAOPALA,2106.93,189.58
ANONDITA,2114.23,1168.95
MUKANDLTD,2120.01,146.2
DCXINDIA,2120.39,190.64
INDIANHUME,2133.07,404.7
BGRENERGY,2137.48,297.5
SOMANYCERA,2143.94,522.75
HONDAPOWER,2147.17,2112.8
CANTABIL,2151.5,255.87
VERANDA,2174.79,226.14
KPEL,2181.41,322.0
SHRINGARMS,2181.41,226.03
KCP,2181.97,169.12
VINDHYATEL,2183.53,1842.4
PARACABLES,2184.06,66.65
SERVOTECH,2189.35,96.94
ALPEXSOLAR,2202.96,862.45
ELCIDIN,2219.22,111175.0
JAYKAY,2219.56,170.29
APOLLOPIPE,2221.99,504.2
TCIEXP,2222.13,576.75
SANSTAR,2222.13,111.22
COSMOFIRST,2226.22,846.4
ORISSAMINE,2227.42,3715.3
GRANDOAK,2229.55,42.11
SIRCA,2232.52,393.35
HPL,2233.8,347.45
HMT,2237.09,62.93
TAJGVK,2244.41,358.2
BHARATRAS,2251.42,1357.1
JISLJALEQS,2259.92,30.99
PRAKASH,2261.6,126.15
ORIENTHOT,2274.2,127.67
STYLEBAAZA,2277.44,299.65
TASTYBITE,2286.31,8910.0
TVSINVIT,2288.51,116.05
BETA,2291.64,2260.7
GSPCROP,2295.13,493.0
ALEMBICLTD,2296.14,89.51
ANANTAM,2298.21,104.98
EXICOM,2300.95,165.23
GEOJITFSL,2303.89,82.49
SUMEETINDS,2304.45,33.26
SAGCEM,2305.01,176.25
ADVAIT,2309.9,2110.8
MOLDTKPAC,2315.1,695.9
PENIND,2316.99,170.93
INDOCO,2329.61,251.91
BFUTILITIE,2329.88,620.2
VENUSREM,2332.62,1788.5
VINCOFE,2336.98,160.47
ADOR,2349.08,1352.8
EPACK,2359.8,245.13
BRIGHOTEL,2364.16,62.33
TEAMLEASE,2365.62,1408.2
KICL,2369.17,5431.5
KNACK,2387.41,194.42
CAMLINFINE,2388.39,124.93
NIBE,2395.1,1547.9
PROTEAN,2395.63,588.95
DRAGARWQ,2398.08,4952.5
EMSLIMITED,2400.67,433.0
SAKSOFT,2410.97,181.88
SUNDROP,2424.5,642.45
SPANDANA,2431.26,301.4
KLBRENG-B,2435.7,447.4
BLSE,2443.73,268.75
RHETAN,2457.49,30.88
STALLION,2464.52,212.04
TALBROAUTO,2465.13,399.15
SIKA,2471.6,1168.7
GREENPANEL,2476.46,202.04
SILVERTUC,2483.85,195.96
RANEHOLDIN,2487.13,1738.6
EPACKPEB,2503.85,249.31
CONFIPET,2512.09,75.53
MUFIN,2512.88,127.29
PIXTRANS,2515.68,1844.2
VIMTALABS,2516.86,564.45
REPCOHOME,2523.06,402.7
RAJRATAN,2523.46,495.9
VEEDOL,2523.86,1448.9
SPORTKING,2527.02,198.51
MMFL,2528.01,524.1
FISCHER,2528.4,38.59
SAIPARENT,2533.83,570.7
GNA,2541.04,592.0
GIPCL,2543.49,163.52
AJMERA,2546.27,129.1
RISHABH,2551.34,659.5
INA,2552.86,115.93
ARKADE,2555.29,137.59
STOVEKRAFT,2557.89,777.55
EVEREADY,2559.32,352.1
RAJESHEXPO,2569.32,86.9
PANAMAPET,2574.9,425.9
BOMDYEING,2589.13,125.32
KIRIINDUS,2590.43,397.25
SPAL,2620.01,1041.2
CAPINVIT,2640.3,73.42
MEDIASSIST,2669.47,357.4
UTKARSHBNK,2672.83,15.05
MARATHON,2689.81,396.1
IMAGICAA,2700.87,47.75
MANGLMCEM,2705.6,986.35
NITCO,2709.58,112.32
FLAIR,2710.72,256.9
EASEMYTRIP,2713.54,6.82
RELINFRA,2714.95,66.44
RAMKY,2718.74,392.4
NXT-INFRA,2724.89,95.61
BEPL,2725.89,109.68
INDNIPPON,2725.93,1206.0
FMGOETZE,2727.54,490.05
ROADSTAR,2732.86,60.0
PARKHOTELS,2742.73,128.67
ARVSMART,2750.16,599.2
SOLARA,2763.6,578.05
NOCIL,2774.78,166.21
NSIL,2777.77,5407.5
